"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5IU73KswqMJp0lqSD1m9Qu","Hunted (feat. Jonny Rose)","spotify:artist:2nE0oyV6KZZB7Wu62QXOXP, spotify:artist:3p5VCeIdYiZzNu0kyb9sMd","Priority One & TwoThirds, Jonny Rose","spotify:album:60Wu5MAaFCZyuyY5eY9125","Hunted (feat. Jonny Rose)","spotify:artist:2nE0oyV6KZZB7Wu62QXOXP","Priority One & TwoThirds","2015-10-02","https://i.scdn.co/image/ab67616d0000b273844863ad2112b4d4fe0b14ef","1","1","264695","","false","0","spotify:user:brenmiester","2018-11-27T07:37:24Z"
"spotify:track:2KKmcfLjOmSl7K82PrfxyH","Riding The Storm","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","spotify:album:3wdS3OJgfrxWgJ8dds8JYC","Monstercat 004 - Identity","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-17","https://i.scdn.co/image/ab67616d0000b273c7d5be2453a260fd6b18f5bd","1","5","273031","","false","0","spotify:user:brenmiester","2018-11-27T07:39:13Z"
"spotify:track:76Tkh6Fl7uTvQQn4MkNIbi","Too Simple","spotify:artist:28Ky95tmlHktB96DBUoB0g, spotify:artist:0FvgCHaMG7KL6M83yJuhmL","Tristam, Stephen Walking","spotify:album:7nK4zzCJuErGA6Kp0tUXOA","Monstercat 008 - Anniversary","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-07-25","https://i.scdn.co/image/ab67616d0000b2735bec9a6df59312e9f633705e","1","17","271782","","false","0","spotify:user:brenmiester","2018-11-27T07:40:02Z"
"spotify:track:5JedvPL29OaHwOFL1Jb4uO","Pressure Cooker","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:7nK4zzCJuErGA6Kp0tUXOA","Monstercat 008 - Anniversary","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-07-25","https://i.scdn.co/image/ab67616d0000b2735bec9a6df59312e9f633705e","1","6","194137","","false","0","spotify:user:brenmiester","2018-11-27T07:40:13Z"
"spotify:track:6k9PTMNHQ3Y5ZzjSMl16Cu","Surge (Drum & Bass Mix)","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","spotify:album:5SqZ4jKYwNVZfyI9dnbhxp","Surge","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","2014-03-12","https://i.scdn.co/image/ab67616d0000b273d2e9ad87c205a57953d2d649","1","2","249904","","false","0","spotify:user:brenmiester","2018-11-27T07:40:38Z"
"spotify:track:26vNIXrv6BI6l0gHHk81Hg","Time Bomb (feat. Veela)","spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:7kfzadZaOgR90Tp8OYH5gM, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Feint, Boyinaband, Veela","spotify:album:7dArkHuO5wkus2TJTu6Ytx","Monstercat 007 - Solace","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-06-06","https://i.scdn.co/image/ab67616d0000b273da7770b79a66bc42de93d8e7","1","1","211644","","false","0","spotify:user:brenmiester","2018-11-27T07:41:35Z"
"spotify:track:2Arw3BvOzm5ljO3IpYX28D","Razor Sharp","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:28Ky95tmlHktB96DBUoB0g","Pegboard Nerds, Tristam","spotify:album:29bnBKWKSMqeTUG5qgsqWI","Razor Sharp","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:28Ky95tmlHktB96DBUoB0g","Pegboard Nerds, Tristam","2013-05-01","https://i.scdn.co/image/ab67616d0000b2739d2310c3bba633ea95eda4c2","1","1","281454","","false","0","spotify:user:brenmiester","2018-11-30T03:53:48Z"
"spotify:track:6ko8EGIEqLlSbq53apnGMg","Ampersand","spotify:artist:0FvgCHaMG7KL6M83yJuhmL, spotify:artist:67PlXwfaqNlqmHMRHPl8aq","Stephen Walking, Soulero","spotify:album:1PkGh20XlUS2xwx2kntskO","Monstercat Best of Electro, Vol. 1.","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-05-28","https://i.scdn.co/image/ab67616d0000b27382ec3b432bdc0ed45f8f0632","1","4","296781","","false","0","spotify:user:brenmiester","2018-11-30T03:54:03Z"
"spotify:track:5sXDrbX0T45lv8elWcVUnc","Stronger (feat. Emel)","spotify:artist:4lC8Q0azW5ij2e1skZo377, spotify:artist:1U6FdBYgMkeRjQFuTF5JYr","Stonebank, EMEL","spotify:album:5OaNOSEdEXKJls5c0A5eSx","Stronger (feat. Emel)","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","2015-01-05","https://i.scdn.co/image/ab67616d0000b273f7717b6fe73c78a1068588e6","1","1","320393","","false","0","spotify:user:brenmiester","2018-11-30T03:54:29Z"
"spotify:track:1W6v0ggnai7Eaf9vON7j0M","Bring Me Joy","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2v48ggkAkCPBJ4ERWMNDYv","Pegboard Nerds, lug00ber","spotify:album:1prEPz4Mt32waRnSEDRA4o","Bring Me Joy","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2v48ggkAkCPBJ4ERWMNDYv","Pegboard Nerds, lug00ber","2018-02-05","https://i.scdn.co/image/ab67616d0000b273520ea581d06c1f7f4e81ebae","1","1","274453","","false","0","spotify:user:brenmiester","2018-11-30T03:55:59Z"
"spotify:track:5IyEEhPjVTsgUPiJgiRYCz","Bring It Back","spotify:artist:6SJnjpekgnONgNtxKeMP8m","Dodge & Fuski","spotify:album:1CoIMbmhgq9dFpTTzO54fQ","Disciple Alliance, Vol. 3","spotify:artist:7a3OvvhvAvZ1FZE928i3Lk","Disciple","2016-09-12","https://i.scdn.co/image/ab67616d0000b2733e12e07a655f9af965932ca0","1","3","188800","https://p.scdn.co/mp3-preview/29e028e440213c3e2c10d752add386b94ecbeebf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:brenmiester","2018-11-30T03:57:44Z"
"spotify:track:2Fi0wa2BV6o17Pc2bpS4fP","20K","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:4ARvVncrPdjSZAuvA2AJDP","The Lost Tracks","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2013-08-30","https://i.scdn.co/image/ab67616d0000b273f7f40cf86f509109e5d0a464","1","3","236615","","false","0","spotify:user:brenmiester","2018-11-30T03:59:30Z"
"spotify:track:2GHNZvjA57wLRl4FVk0MhS","The Munsta","spotify:artist:3Y7sK4nACC8R7WwAUUumCL","SCNDL","spotify:album:6j8tfOYPx6MusmbqhjqWqY","The Munsta","spotify:artist:3Y7sK4nACC8R7WwAUUumCL","SCNDL","2014-05-05","https://i.scdn.co/image/ab67616d0000b27335012f18c65a60dd1edbefb0","1","1","249374","","false","0","spotify:user:brenmiester","2018-11-30T04:01:17Z"
"spotify:track:59OZiGqFfWmry6o9pTx8i8","Bruises","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:03JxDRu3gVW98sAknhq8dq","Bruises (Destinations)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2018-08-15","https://i.scdn.co/image/ab67616d0000b273e3ca4db54b7f4b0fb3ee2c65","1","1","220732","https://p.scdn.co/mp3-preview/d69cdeedbed9866e648c801dcdd45c6c7a1e3ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:brenmiester","2018-11-30T04:01:33Z"
"spotify:track:1k7EtfFC2Ya4chVpEB6GKc","We Are One","spotify:artist:3w3WqbSrbWwGlnQV4fLcUM","Flite","spotify:album:4TT0HWSdBt3SLKtI0DhI8r","We Are One","spotify:artist:3w3WqbSrbWwGlnQV4fLcUM","Flite","2017-10-13","https://i.scdn.co/image/ab67616d0000b273837bbeebb004469fd874878d","1","1","231471","","false","0","spotify:user:brenmiester","2018-11-30T04:01:54Z"
"spotify:track:60PzHntXwV2qGk6MRVIcJG","High Roller - Dodge & Fuski Remix","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:3Fe5n1HNeOPaDPwcPIx6Qc","Pegboard Nerds, SPLITBREED","spotify:album:7bzCLn3bjLPRQrsTBIJDvB","High Roller Remixes","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2013-11-25","https://i.scdn.co/image/ab67616d0000b2737dfca2a3f74f3232e2fdb60f","1","1","192000","","true","0","spotify:user:brenmiester","2018-11-30T04:02:10Z"
"spotify:track:2jflhiAofkyURpZAqcqoq6","BADBOI","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:3mulBjYvvCjYfdjKrv8PdM","BADBOI","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2014-08-18","https://i.scdn.co/image/ab67616d0000b273e16fffd4a11a94037db70250","1","1","190545","","false","0","spotify:user:brenmiester","2018-11-30T04:02:22Z"
"spotify:track:0xGefLIJMvEW7GkFp7KHnl","Us Against the World","spotify:artist:2gZzTzeACSwFqkMroVxmnm","Darren Styles","spotify:album:5Q3Ah2ERAjFdevzm5J9UTn","Us Against the World","spotify:artist:2gZzTzeACSwFqkMroVxmnm","Darren Styles","2017-04-03","https://i.scdn.co/image/ab67616d0000b2730eb271949dc68b908c10b5b4","1","1","271058","","false","0","spotify:user:brenmiester","2018-11-30T04:02:29Z"
"spotify:track:0VfqzcEx0pl0WnUqzHCdSi","In the Night","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg, spotify:artist:1CXuuw8HJhyN80HlNzvL1e","MUZZ, Sullivan King","spotify:album:34UYEHfEfSBv2epPuAYw19","The Cascade EP","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","2018-05-14","https://i.scdn.co/image/ab67616d0000b2734a37cc7b3f383645b8cd02f4","1","3","267490","","false","0","spotify:user:brenmiester","2018-11-30T04:03:31Z"
"spotify:track:49yo9G16eljLYk0ruT0jMf","Atlantic","spotify:artist:3zuevuwyBq4MiQzPB3nvW2","Rogue","spotify:album:6o7uWxqNgzcUrVbGmJo3iN","Atlantic","spotify:artist:3zuevuwyBq4MiQzPB3nvW2","Rogue","2014-10-15","https://i.scdn.co/image/ab67616d0000b273a20feb4ea5d8b3f19f5c9125","1","1","263395","","false","0","spotify:user:brenmiester","2018-11-30T04:03:40Z"
"spotify:track:3HCWKotFdJ0X1C7wSVzfV7","Party Don't Stop","spotify:artist:2gZzTzeACSwFqkMroVxmnm, spotify:artist:4Dn8TwLoOeWtznIg0LLWFL, spotify:artist:5nd7jnne7zbsV2J5jBKNOY","Darren Styles, Dougal, Gammer","spotify:album:013iZ8WuelUM5dUamP1yGj","Party Don't Stop","spotify:artist:2gZzTzeACSwFqkMroVxmnm, spotify:artist:4Dn8TwLoOeWtznIg0LLWFL, spotify:artist:5nd7jnne7zbsV2J5jBKNOY","Darren Styles, Dougal, Gammer","2017-07-26","https://i.scdn.co/image/ab67616d0000b273587560c0acd22330e3180c10","1","1","197647","","false","0","spotify:user:brenmiester","2018-11-30T04:03:56Z"
"spotify:track:3Uhfd2kI3JAF39bmNPav6r","Self Destruct","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:2A49vgoPAzzEDY07MGT4dg","Monstercat 010 - Conquest","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-10-31","https://i.scdn.co/image/ab67616d0000b27395ef05dcf647df15fec8af42","1","12","212571","","false","0","spotify:user:brenmiester","2018-11-30T04:04:41Z"
"spotify:track:0Stc8DaTds5NKgZOp5RZd0","Helan går","spotify:artist:79jKLAo2K6B8owRoRgTW8y","Kul Ju","spotify:album:6uZcabhdcauQco7ynAkr1m","Helan går","spotify:artist:79jKLAo2K6B8owRoRgTW8y","Kul Ju","2018-11-02","https://i.scdn.co/image/ab67616d0000b273d6239c8fb6c0f2de5b66948f","1","1","172031","https://p.scdn.co/mp3-preview/548012d441319874c1365e06e6c6976e6073fa92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:brenmiester","2019-01-02T09:51:54Z"
"spotify:track:5USYPC5SrbWbzZgkvscVuV","Titans","spotify:artist:5RKCVcnmcgyhFf85I4Ry9O, spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Razihel, Aero Chord","spotify:album:7Jogareb16MHcyHQOgzrWE","Titans","spotify:artist:5RKCVcnmcgyhFf85I4Ry9O, spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Razihel, Aero Chord","2015-06-22","https://i.scdn.co/image/ab67616d0000b273ce49ed7b14bf0f3aa9d01f36","1","1","250344","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:6YGveDnVNEnelvPaAVjS6i","Vantablack","spotify:artist:4zymhxzJ0UJc74tMHGyoWs, spotify:artist:1CXuuw8HJhyN80HlNzvL1e","Dirtyphonics, Sullivan King","spotify:album:1fx9pNIvzLtPrMBgFb65F3","Vantablack","spotify:artist:4zymhxzJ0UJc74tMHGyoWs, spotify:artist:1CXuuw8HJhyN80HlNzvL1e","Dirtyphonics, Sullivan King","2017-10-09","https://i.scdn.co/image/ab67616d0000b273890de842991ae2005499d2d7","1","1","265600","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:76vKhAZdsJhXhqAS8EafBs","Moving Hectic (feat. Harry Shotta)","spotify:artist:3gxGPuGK6DOpv7XVp8V6jG, spotify:artist:1KDOjuXZPd8XA3YBakakMb","Slippy, Harry Shotta","spotify:album:1kQFa43ht2pzmgDyH7amPv","Moving Hectic (feat. Harry Shotta)","spotify:artist:3gxGPuGK6DOpv7XVp8V6jG","Slippy","2017-09-08","https://i.scdn.co/image/ab67616d0000b27392fc3c2cee2cde4124d2509c","1","1","228000","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:4MX1gaLuGE2OovCUrvnlYJ","Heist","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","spotify:album:2Yt5MjCZ7RgfHqV2KF34Jt","Heist","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","2015-10-05","https://i.scdn.co/image/ab67616d0000b273828a59a300862f46d921b0a7","1","1","182117","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:6w6q5YcEZNqijxf8PDUePB","That Sound","spotify:artist:4lYh6s3KAhgk3mLQa1F5C8, spotify:artist:3gxGPuGK6DOpv7XVp8V6jG","Reach, Slippy","spotify:album:15l1AVjHnMKwiZ3LxGcpma","That Sound","spotify:artist:4lYh6s3KAhgk3mLQa1F5C8, spotify:artist:3gxGPuGK6DOpv7XVp8V6jG","Reach, Slippy","2017-07-24","https://i.scdn.co/image/ab67616d0000b27372b5b820aaa3d1348c6a3a89","1","1","252187","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:4o0HaXJxR8S69EazEY0J2R","Chipland","spotify:artist:7mUsBZ6g6BbAu2MBU8Nsu3","nanobii","spotify:album:7CeVMtAQWX404olsAfG1AF","Chipland","spotify:artist:7mUsBZ6g6BbAu2MBU8Nsu3","nanobii","2017-01-02","https://i.scdn.co/image/ab67616d0000b2731cb314061f86190e350aa03b","1","1","190344","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:6Pyn4hhu3fKRAWRDMk0dcl","Bring the Madness (feat. Mayor Apeshit)","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:006vxZB858jX6ETI6mfDFA","Excision, Pegboard Nerds, Mayor Apeshit","spotify:album:5NO5g1Du4nAMgjl8omNb8G","Bring the Madness (feat. Mayor Apeshit)","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Excision, Pegboard Nerds","2015-01-19","https://i.scdn.co/image/ab67616d0000b273f9831375a844dab4d1ecb2ed","1","1","205172","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:12bvEY7S9KxENmWxiub3IF","Alien","spotify:artist:6SJnjpekgnONgNtxKeMP8m, spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Dodge & Fuski, Virtual Riot","spotify:album:1Whw71mBug4zHyI3rTWLO0","Alien","spotify:artist:6SJnjpekgnONgNtxKeMP8m, spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Dodge & Fuski, Virtual Riot","2015-09-07","https://i.scdn.co/image/ab67616d0000b2737a28edd8b66ab23f9b9870e8","1","1","185600","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:2mEi2qFXOM4j05YYYu6HIN","Juices - Pegboard Nerds Remix","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1, spotify:artist:4akLvvJyLbJxlbpSXHTLvT, spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Virtual Riot, Dubloadz, Pegboard Nerds","spotify:album:3r6bYvNC5BKQB8cbUo9Khx","Chemistry EP (The Remixes)","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Virtual Riot","2016-08-29","https://i.scdn.co/image/ab67616d0000b273fd0a482b9de168ae14410dd9","1","2","225454","","true","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:1BNMRHPhZ6LvYpIGWiLBO1","Voodoo","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:17esEoE9uEHFKuzkar2UL0","Pegboard Nerds, Tony Junior","spotify:album:0ytaGqLwzj1YhmZVBpbjd4","Voodoo","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:17esEoE9uEHFKuzkar2UL0","Pegboard Nerds, Tony Junior","2017-02-03","https://i.scdn.co/image/ab67616d0000b2731456d138dd090f3104b9d8ba","1","1","220257","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:0lsxdqZj5sVGWIKse0xETh","Go Berzerk","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","spotify:album:0of0qWNbNmUck9ODJzBPA3","Nerds by Nature - EP","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2017-01-13","https://i.scdn.co/image/ab67616d0000b2731997f03aceb5147e33e550f8","1","4","207871","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:14X6yIYPMrzN8Ty2xtrImo","Move That Body","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","spotify:album:6Aadr9QwkvZdVCZPpUi1PY","Move That Body","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","2017-04-12","https://i.scdn.co/image/ab67616d0000b2733e6178c90c897aeec702a21e","1","1","217142","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
"spotify:track:54W6duocuksjd7MhDmLKmc","Move That Body (Soltan Remix)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1, spotify:artist:6wIbmO0mcpIyQ6CFXIJmIy","Pegboard Nerds, Quiet Disorder, Soltan","spotify:album:7JsioGK4y8QavRZR5aCJvH","Move That Body (Soltan Remix)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1, spotify:artist:6wIbmO0mcpIyQ6CFXIJmIy","Pegboard Nerds, Quiet Disorder, Soltan","2017-08-16","https://i.scdn.co/image/ab67616d0000b2738343f4ee8937af63de86d371","1","1","231408","","false","0","spotify:user:brenmiester","2019-01-16T06:41:59Z"
