"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1ATe6SfYWIrsK7L7w7OmdN","Find That Someone","spotify:artist:5h4HpujvLoTaqy2tkrs2DC, spotify:artist:5z275L9haKWG328mm7UFd3","Televisor, Richard Judge","spotify:album:1wgp2985J4ih0t5s7TAxOF","Venture","spotify:artist:5h4HpujvLoTaqy2tkrs2DC","Televisor","2015-04-06","https://i.scdn.co/image/ab67616d0000b2733665853d5cc2dd2b4200497c","1","1","228000","https://p.scdn.co/mp3-preview/bc4e33bd7467e7e87e7b2ae1ac305a5d4c507abc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2020-07-28T01:04:33Z"
"spotify:track:3aIhJDHxr1kgTSnutJxPTH","Peanut Butter Jelly","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","spotify:album:4QcXq4vTVN7dFb7bZa9jG2","Pharmacy","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","2015-06-05","https://i.scdn.co/image/ab67616d0000b2732b517912fd69652ff10d8e11","1","9","203133","https://p.scdn.co/mp3-preview/b7fb82cd8de6d07fca2be8ce026004c26c8072c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2020-07-28T01:04:40Z"
"spotify:track:6ZvLKwgPKlyZtDPkTWjPI7","This Groove","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:4IRw3ME1D0lYOyFyXAjDv7","Oliver Heldens, Lenno","spotify:album:6V2cksv4xWiubhZdh2Kb1H","This Groove","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:4IRw3ME1D0lYOyFyXAjDv7","Oliver Heldens, Lenno","2019-01-25","https://i.scdn.co/image/ab67616d0000b27362e4168266019d3b2a5a90ce","1","1","188174","https://p.scdn.co/mp3-preview/e751aed5dca8fae345b6d51df0541297117ecdc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:brenmiester","2020-07-28T01:04:53Z"
"spotify:track:40vxyMiqiIpiRmHqQkdQj2","Break Loose","spotify:artist:5h4HpujvLoTaqy2tkrs2DC, spotify:artist:3Fe5n1HNeOPaDPwcPIx6Qc","Televisor, SPLITBREED","spotify:album:1wgp2985J4ih0t5s7TAxOF","Venture","spotify:artist:5h4HpujvLoTaqy2tkrs2DC","Televisor","2015-04-06","https://i.scdn.co/image/ab67616d0000b2733665853d5cc2dd2b4200497c","1","3","219272","https://p.scdn.co/mp3-preview/ef4f5cfdbdbc1993d4771c0ff5e85c0c150fddaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2020-07-28T07:59:55Z"
"spotify:track:7F0DDqZ6SdIUEMuo8eRlmv","Glide","spotify:artist:0FvgCHaMG7KL6M83yJuhmL","Stephen Walking","spotify:album:6xXSA7tM66WUXjvg1d24AP","Glide","spotify:artist:0FvgCHaMG7KL6M83yJuhmL","Stephen Walking","2018-05-08","https://i.scdn.co/image/ab67616d0000b273d8da4ee4b3d7c0ff6dc65c9e","1","1","196853","https://p.scdn.co/mp3-preview/85a56e7be65842d829b08f86584648c48ff31500?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2020-07-28T08:00:09Z"
"spotify:track:3ckwIjit7TfYyjqqRw0fQy","Odyssey (feat. Danyka Nadeau)","spotify:artist:5h4HpujvLoTaqy2tkrs2DC, spotify:artist:1bZhxzq9mhYkPf0wdxGko9","Televisor, Danyka Nadeau","spotify:album:7tAqJQcPGsxi5FLwcNCUtN","Odyssey","spotify:artist:5h4HpujvLoTaqy2tkrs2DC","Televisor","2017-01-18","https://i.scdn.co/image/ab67616d0000b273c6c08cddce95dc09c824127a","1","1","252787","https://p.scdn.co/mp3-preview/e780b4ba26793d496481bb4d1eaa5ebf016e4b80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:brenmiester","2020-07-28T08:00:31Z"
"spotify:track:4FJQhrYrmnUnmbQyKlyHfq","Little Too Close","spotify:artist:4VqBNQRr0nDN0trNUOn0co, spotify:artist:6kuFWCCvd7bWB1PV0tJMN2","WRLD, Veronika Redd","spotify:album:7GtZPupXbxCbzZ2VHZzBKL","Chase It","spotify:artist:4VqBNQRr0nDN0trNUOn0co","WRLD","2015-08-24","https://i.scdn.co/image/ab67616d0000b27300f33a6e31f11e21c691068a","1","4","244889","https://p.scdn.co/mp3-preview/ce5a7bcf0e00764ff7962858434955b71da7f05d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:brenmiester","2020-07-28T08:00:45Z"
"spotify:track:6nK94ZVtTm6p6w8cWO7Yye","Some Kind Of Magic","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:6mE4w8P7BX8CrhM1QmpYaC","LVTHER, Myzica","spotify:album:3AATb50spUS9ibz9jHwfDc","Some Kind Of Magic","spotify:artist:4sGfNIfA14nKOKNi9NNQ12","LVTHER","2016-03-30","https://i.scdn.co/image/ab67616d0000b27355131edceffea553f8b915f7","1","1","194290","https://p.scdn.co/mp3-preview/302da1177772c48117c1acc84b404325aacff2b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-07-28T08:00:51Z"
"spotify:track:6HCYraYP2Q91yZZ9wQqkBi","Cut the Kid","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","16","197573","https://p.scdn.co/mp3-preview/28e5c339569ceeb989aedeff791faef2198e641f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2020-07-28T08:00:57Z"
"spotify:track:0dy8wVOaoi2MR9NOOm4cz1","Pay No Mind (feat. Passion Pit)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Madeon, Passion Pit","spotify:album:5BBqRKxs1tGwtYr3X3akKD","Adventure","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-24","https://i.scdn.co/image/ab67616d0000b273b70fbbe7948314389e61f10d","1","5","249440","https://p.scdn.co/mp3-preview/2dc2728cf493349ccc2d9a40da026f953b7b2938?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2020-07-28T08:01:05Z"
"spotify:track:3cKpKxz7JOZsCf4C2rRB5K","Turbo Penguin","spotify:artist:4XU5f8nGiPMr6eetud6epC, spotify:artist:1UtzKaSQyctQO8GN8EyzOn","Nitro Fun, Sound Remedy","spotify:album:3lHxZdmQgqq4wJMw9RNJEw","Turbo Penguin","spotify:artist:4XU5f8nGiPMr6eetud6epC, spotify:artist:1UtzKaSQyctQO8GN8EyzOn","Nitro Fun, Sound Remedy","2014-11-03","https://i.scdn.co/image/ab67616d0000b273de807982da02547f3300abc9","1","1","211272","https://p.scdn.co/mp3-preview/b8bbf8b799de6f60893f21a5c4a745d9ed1521ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2020-07-28T08:01:12Z"
"spotify:track:5bGy2uC2zUDmveSkq6Fnoo","Chase It","spotify:artist:4VqBNQRr0nDN0trNUOn0co, spotify:artist:4dRRQxDsUXpBkGqjS7vNcO","WRLD, Savoi","spotify:album:0VwP1hOyEkOVHdgIO76YOL","Chase It","spotify:artist:4VqBNQRr0nDN0trNUOn0co","WRLD","2015-07-17","https://i.scdn.co/image/ab67616d0000b273d424b5e30d191c7f1296bc8c","1","1","224863","https://p.scdn.co/mp3-preview/956068569c9efebe21b5e5b050149beaaf4c1c98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2020-07-28T08:01:22Z"
"spotify:track:7of5vqDVelR7W0GVohpnk5","Adventures","spotify:artist:1KkjjsBwGqU2YjS9OIucZV, spotify:artist:6kx1NiHogZzkSU7lHMc3Ow","Hyper Potions, Subtact","spotify:album:1vo6Mbp3wM2s3eTjH1hfCa","Adventures","spotify:artist:1KkjjsBwGqU2YjS9OIucZV, spotify:artist:6kx1NiHogZzkSU7lHMc3Ow","Hyper Potions, Subtact","2015-06-12","https://i.scdn.co/image/ab67616d0000b2735a3ec3397988981716d93b73","1","1","173871","https://p.scdn.co/mp3-preview/c633b837614f001d4c33a0c1093f3ad68efb9f48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2020-07-28T08:01:31Z"
"spotify:track:49X0LAl6faAusYq02PRAY6","Lady - Hear Me Tonight","spotify:artist:0AkpPlFLnr0VQwZQeMGht0","Modjo","spotify:album:0vwDxngkhZuwNbcxzebCXI","Modjo (Remastered)","spotify:artist:0AkpPlFLnr0VQwZQeMGht0","Modjo","2001","https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7","1","3","307153","https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:brenmiester","2020-08-05T03:01:59Z"
