Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Hurts Just Right	BRAINCOATS									2739158	85.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Hurts Just Right/Can't Have You/01 Hurts Just Right.mp3
Can't Have You	BRAINCOATS									3224407	100.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Hurts Just Right/Can't Have You/02 Can't Have You.mp3
500	BRAINCOATS									1736866	54.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Hopeless Arguments/03 500.mp3
Seven	BRAINCOATS									2373844	73.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Bad Dreams & Tumbleweeds/03 Seven.mp3
Suicide City	BRAINCOATS									3454281	107.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/12 Reasons For Self-Medication/02 Suicide City.mp3
99 Fatalities	BRAINCOATS									3334306	81.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Madhouse/03 99 Fatalities.mp3
Dead At 21	BRAINCOATS									3132451	82.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/12 Reasons For Self-Medication/04 Dead At 21.mp3
Indie Girl	BRAINCOATS									2840291	89.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Bad Dreams & Tumbleweeds/05 Indie Girl.mp3
Gasoline	BRAINCOATS									3008733	94.5			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/12 Reasons For Self-Medication/07 Gasoline.mp3
The Hardest Button To Button	The White Stripes									3400783	106.0			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Elephant/09 The Hardest Button To Button.mp3
Death By Diamonds And Pearls	Band Of Skulls									3324732	96.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Band Of Skulls/Baby Darling Doll Face Honey/02 Death By Diamonds And Pearls.mp3
Blue Orchid	The White Stripes									2522645	79.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Get Behind Me Satan/01 Blue Orchid.mp3
MANTRA	Bring Me The Horizon									3759371	116.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bring Me The Horizon/MANTRA/01 MANTRA.mp3
Throne	Bring Me The Horizon									3043446	95.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bring Me The Horizon/That's The Spirit (Track by Track Commentary)/06 Throne.mp3
Needing/Getting	OK Go									3738092	156.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Of The Blue Colour of the Sky Extra Nice Edition/04 Needing/Getting.mp3
Typical Story	Hobo Johnson									3059725	95.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hobo Johnson/The Fall of Hobo Johnson/01 Typical Story.mp3
Ashley	Escape the Fate									3320118	103.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Escape the Fate/This War Is Ours (Deluxe Edition)/03 Ashley.mp3
Dear Maria, Count Me In	All Time Low									2926820	91.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/All Time Low/So Wrong, It's Right/06 Dear Maria, Count Me In.mp3
