Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Peanut Butter Jelly	Galantis		Pharmacy							3266183	203			9			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\K4Y3PGoWFGY
Everything Went Numb	Streetlight Manifesto		Everything Goes Numb							3361503	209			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\7ahxoOgz-nw
Blue Orchid	The White Stripes		Get Behind Me Satan							2522645	158			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\hkKSagYpf9A
My Doorbell	The White Stripes		Get Behind Me Satan							3871400	241			3			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\IzXPstg70lo
Fake ID	Riton, Kah-Lo		Fake ID							3953717	246			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\4GmLoVGmgDw
Me and Julio Down by the School Yard	Streetlight Manifesto		99 Songs of Revolution Vol. 1							2355083	147			7			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\B-aAaVh0qPY
Find That Someone	Televisor, Richard Judge		Venture							3228997	228			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\h7aunPoTU64
Icky Thump	The White Stripes		Icky Thump							4074100	254			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\evypdgY6KpQ
Boss Bitch	Doja Cat		Boss Bitch							2163599	134			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\juUJpNN-suU
Lazaretto	Jack White		Lazaretto							3701271	219			2			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\qI-95cTMeLM
Never Miss a Beat	Kaiser Chiefs		Off with Their Heads							3027125	188			2			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\kx3e-zDnQx4
We Will Fall Together	Streetlight Manifesto		Somewhere in the Between							4698142	289			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\SOqenYis1iQ
The Trooper - 2015 Remaster	Iron Maiden		Piece of Mind (2015 Remaster)							4036095	252			5			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\j_Q1B9QTk70
Fell In Love With a Girl	The White Stripes		White Blood Cells							1779943	110			4			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\1CK7v9VUBvs
Woman	Wolfmother		Wolfmother							2836511	176			3			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\AL_ThUaLr68
The Three of Us	Streetlight Manifesto		The Hands That Thieve							5090179	318			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\Dc0gsKXC8XA
Everybody Knows You Cried Last Night	The Fratellis		Costello Music							3752297	234			10			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\eIlK_8QJYSI
The Hardest Button to Button	The White Stripes		Elephant							3400783	212			9			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\1DGX6HBR-XA
Cut the Kid	Madeon		Adventure (Deluxe)							3201399	197			16			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\Ih-izudb6Uo
It's You - Ridiculous Mix	Duck Sauce		It's You							3766906	235			2			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\7gF6h7DBRgk
Joker And The Thief	Wolfmother		Wolfmother							4149334	280			6			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\3afXXsJwYZo
Birdhouse in Your Soul	They Might Be Giants		Flood							3184275	198			2			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\9zOKBvHNWus
Shazam!	Spiderbait		Grand Slam							1924526	123			3			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\SZQ9Havyp-M
Four Twenty	Malaa		Four Twenty							3274534	204			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\5OmpHzIj3es
Henrietta	The Fratellis		Costello Music							3387810	212			1			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\v-gTGXlbRWM
Your Racist Friend	They Might Be Giants		Flood							2808525	175			6			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\JFGQdvYIJ0M
Na Na Na (Na Na Na Na Na Na Na Na Na)	My Chemical Romance		Danger Days: The True Lives of the Fabulous Killjoys							3301364	205			2			44505	44505	128	44100		MPEG audio file								\your_top_songs_2020\km5OXaB2Uu0
